 Y coordinate : X coordinate : Time 
2.59,3.7,0.01
0.09,3.76,0.03
0.21,3.83,0.04
0.32,3.9,0.05
0.43,3.97,0.07
0.55,4.05,0.08
0.68,4.14,0.1
0.81,4.23,0.12
0.94,4.32,0.13
1.05,4.4,0.15
1.16,4.48,0.16
1.23,4.54,0.17
1.3,4.59,0.18
1.37,4.65,0.19
1.44,4.7,0.2
1.5,4.75,0.21
1.57,4.8,0.22
1.63,4.86,0.23
1.7,4.91,0.24
1.76,4.96,0.25
1.82,5.01,0.26
1.88,5.06,0.27
1.94,5.12,0.28
2.0,5.18,0.29
2.06,5.23,0.3
2.12,5.29,0.31
2.18,5.34,0.32
2.24,5.4,0.33
2.29,5.45,0.34
2.34,5.5,0.35
2.39,5.56,0.36
2.45,5.61,0.38
2.5,5.67,0.39
2.55,5.73,0.4
2.6,5.78,0.41
2.65,5.84,0.42
2.7,5.89,0.43
2.74,5.95,0.44
2.79,6.0,0.45
2.83,6.05,0.46
2.87,6.11,0.47
2.91,6.16,0.48
2.95,6.22,0.49
2.99,6.27,0.5
3.03,6.33,0.51
3.07,6.38,0.52
3.11,6.44,0.53
3.14,6.5,0.54
3.17,6.55,0.55
3.21,6.61,0.56
3.24,6.66,0.57
3.27,6.72,0.59
3.3,6.77,0.6
3.33,6.83,0.61
3.36,6.89,0.62
3.39,6.94,0.63
3.41,7.0,0.64
3.44,7.05,0.65
3.46,7.11,0.66
3.48,7.16,0.67
3.5,7.22,0.68
3.52,7.28,0.69
3.54,7.33,0.7
3.56,7.39,0.71
3.57,7.44,0.72
3.59,7.5,0.73
3.61,7.55,0.74
3.62,7.61,0.75
3.63,7.66,0.77
3.64,7.72,0.78
3.65,7.78,0.79
3.66,7.83,0.8
3.67,7.89,0.81
3.68,7.94,0.82
3.68,8.0,0.83
3.69,8.06,0.84
3.69,8.11,0.85
3.69,8.17,0.86
3.69,8.22,0.87
3.69,8.28,0.88
3.69,8.34,0.89
3.69,8.39,0.9
3.69,8.45,0.92
3.68,8.51,0.93
3.68,8.58,0.94
3.67,8.64,0.95
3.66,8.7,0.96
3.65,8.76,0.97
3.64,8.82,0.99
3.62,8.89,1.01
3.6,8.99,1.02
3.58,9.07,1.04
3.56,9.14,1.05
3.54,9.21,1.06
3.51,9.27,1.07
3.49,9.33,1.08
3.47,9.38,1.09
3.45,9.44,1.1
3.42,9.5,1.12
3.39,9.57,1.13
3.36,9.62,1.14
3.33,9.68,1.15
3.3,9.74,1.16
3.27,9.8,1.18
3.23,9.88,1.19
3.19,9.94,1.2
3.15,10.01,1.21
3.11,10.07,1.23
3.07,10.14,1.24
3.02,10.2,1.25
2.98,10.27,1.26
